"id    Класс участия   Регион                 Площадка, этап 1                                    Задача 1   Задача 2   Задача 3   Задача 4   Задача 5   Сумма   Статус"
"10789         7         Иркутская              Лицей № 36 ОАО ""РЖД""                                7.00       7.00       7.00       7.00       7.00         35    Победитель"
"11009         7         Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00       7.00       7.00       7.00       7.00         35    Победитель"
"11025         7         Вологодская            БОУ ВО ""ВМЛ""                                        7.00       7.00       7.00       7.00       7.00         35    Победитель"
"12622         7         Новосибирская          НГУ                                                 7.00       7.00       7.00       7.00       7.00         35    Победитель"
"14063         7         Челябинская            МагГТУ                                              7.00       7.00       7.00       7.00       7.00         35    Победитель"
"15065         7         Вологодская            БОУ ВО ""ВМЛ""                                        7.00       7.00       7.00       7.00       7.00         35    Победитель"
"16727         7         Калининградская        МАОУ Лицей № 23                                     7.00       7.00       7.00       7.00       7.00         35    Победитель"
"18172         7         Челябинская            МагГТУ                                              7.00       7.00       7.00       7.00       7.00         35    Победитель"
"21360         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"22526         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"26900         7         Новосибирская          НГУ                                                 7.00       7.00       7.00       7.00       7.00         35    Победитель"
"27849         7         Курганская             АНО ""ЦДМО""                                          7.00       7.00       7.00       7.00       7.00         35    Победитель"
"29128         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       7.00         35    Победитель"
"4791         7         Татарстан              ФГБОУ ВО ""КГЭУ""                                     7.00       7.00       7.00       7.00       6.00         34    Победитель"
"15922         7         Алтайский              филиал АлтГУ в г. Бийске                            7.00       7.00       7.00       6.00       7.00         34    Победитель"
"15055         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       5.00         33    Победитель"
"23964         7         Иркутская              Лицей № 36 ОАО ""РЖД""                                7.00       7.00       7.00       7.00       5.00         33    Победитель"
"25905         7         Нижегородская          МБОУ Лицей № 15                                     7.00       7.00       7.00       7.00       5.00         33    Победитель"
"27977         7         Татарстан              ФГБОУ ВО ""КГЭУ""                                     7.00       7.00       7.00       5.00       7.00         33    Победитель"
"2275         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       7.00       7.00       4.00         32    Победитель"
"6356         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       4.00       7.00       7.00         32    Победитель"
"11789         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       7.00       4.00       7.00       7.00         32    Победитель"
"22248         7         Хабаровский            КГАНОУ КЦО                                          7.00       7.00       7.00       7.00       4.00         32    Победитель"
"2249         7         Новосибирская          МБУДО ДДТ им. А. И. Ефремова                        7.00       7.00       7.00       7.00       3.00         31    Победитель"
"5648         7         Белгородская           ГАНОУ ВО ""Региональный центр ""Орион""                7.00       7.00       7.00       7.00       3.00         31    Победитель"
"5948         7         Краснодарский          МБУ ДО ЦТРиГО г.Сочи                                7.00       7.00       7.00       5.00       5.00         31    Победитель"
"8726         7         Тюменская              ГАОУ ТО ""ФМШ""                                       7.00       3.00       7.00       7.00       7.00         31    Победитель"
"10722         7         Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00       7.00       6.00       4.00       7.00         31    Победитель"
"11649         7         Воронежская            ГАНОУ ВО ""Региональный центр ""Орион""                7.00       7.00       7.00       5.00       5.00         31    Победитель"
""
""
""
"Страница 1"
" 1334   7   Томская                ТГПУ                                                7.00   7.00   7.00   7.00   2.00   30   Победитель"
"4646   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   7.00   2.00   30   Победитель"
"12406   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   2.00   7.00   7.00   30   Победитель"
"15037   7   Московская             МБОУСОШ6                                            7.00   7.00   7.00   7.00   2.00   30   Победитель"
"20347   7   Свердловская           МАОУ Политехническая гимназия                       7.00   7.00   7.00   7.00   2.00   30   Победитель"
"25826   7   Алтайский              филиал АлтГУ в г. Бийске                            7.00   7.00   7.00   5.00   4.00   30   Победитель"
"26420   7   Московская             АНОО ""Физтех-лицей"" им. П. Л. Капицы                7.00   7.00   7.00   2.00   7.00   30   Победитель"
"28712   7   Курганская             АНО ""ЦДМО""                                          7.00   7.00   7.00   5.00   4.00   30   Победитель"
"28770   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                     7.00   7.00   7.00   2.00   7.00   30   Победитель"
"4994   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   6.00   2.00   29   Победитель"
"6676   7   Свердловская           МАОУ Политехническая гимназия                       7.00   7.00   7.00   1.00   7.00   29   Победитель"
"8033   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   7.00   1.00   29   Победитель"
"8187   7   Новосибирская          НГУ                                                 7.00   7.00   1.00   7.00   7.00   29   Победитель"
"11511   7   Бурятия                ФГБОУ ВО ""БГУ""                                      7.00   7.00   7.00   6.00   2.00   29   Победитель"
"12563   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   5.00   3.00   29   Победитель"
"20711   7   Вологодская            МАОУ ""СОШ № 10""                                     7.00   7.00   5.00   7.00   3.00   29   Победитель"
"28762   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                     6.00   7.00   7.00   2.00   7.00   29   Победитель"
"28899   7   Хабаровский            КГАНОУ КЦО                                          7.00   7.00   7.00   7.00   1.00   29   Победитель"
"2152   7   Новосибирская          МБУДО ДДТ им. А. И. Ефремова                        7.00   7.00   7.00   7.00   -      28   Победитель"
"2293   7   Краснодарский          МУ ДО «Малая академия»                              7.00   7.00   7.00   2.00   5.00   28   Победитель"
"2385   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"2715   7   Пензенская             Губернский лицей                                    7.00   7.00   7.00   7.00   -      28   Победитель"
"3015   7   Москва                 Губернский лицей                                    7.00   7.00   7.00   7.00   -      28   Победитель"
"3044   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   7.00   -      28   Победитель"
"4271   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                     6.00   7.00   7.00   2.00   6.00   28   Победитель"
"4538   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"5122   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"5330   7   Московская             АНОО ""Физтех-лицей"" им. П. Л. Капицы                -      7.00   7.00   7.00   7.00   28   Победитель"
"5421   7   Республика Казахстан   НАО РФМШ г.Алматы                                   7.00   7.00   7.00   7.00   0.00   28   Победитель"
"5850   7   Республика Казахстан   НАО РФМШ г.Алматы                                   7.00   7.00   7.00   7.00   0.00   28   Победитель"
"5860   7   Республика Казахстан   НАО РФМШ г.Алматы                                   7.00   7.00   7.00   7.00   0.00   28   Победитель"
"5906   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   7.00   -      28   Победитель"
"6020   7   Приморский             Губернский лицей                                    7.00   7.00   7.00   7.00   -      28   Победитель"
"6236   7   Бурятия                ФГБОУ ВО ""БГУ""                                      7.00   7.00   7.00   7.00   0.00   28   Победитель"
"6582   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                7.00   7.00   7.00   7.00   -      28   Победитель"
"6865   7   Республика Казахстан   НАО РФМШ г.Алматы                                   7.00   7.00   7.00   7.00   0.00   28   Победитель"
"6992   7   Москва                 НАО РФМШ г.Алматы                                   7.00   0.00   7.00   7.00   7.00   28   Победитель"
"7535   7   Пензенская             Губернский лицей                                    7.00   7.00   7.00   7.00   -      28   Победитель"
"7706   7   Республика Казахстан   НАО РФМШ г.Алматы                                   7.00   7.00   7.00   7.00   0.00   28   Победитель"
"8165   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   0.00   7.00   7.00   28   Победитель"
"8292   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   7.00   -      28   Победитель"
"8489   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"8787   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   7.00   -      28   Победитель"
"9223   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                7.00   7.00   7.00   7.00   -      28   Победитель"
"9242   7   Новосибирская          АКЛ им. Ю.В. Кондратюка                             7.00   7.00   7.00   7.00   -      28   Победитель"
"11055   7   Ямало-Ненецкий         МБОУ СОШ №8                                         7.00   7.00   7.00   7.00   -      28   Победитель"
""
""
""
"Страница 2"
"11601   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   -      7.00   28   Победитель"
"12911   7   Московская             АНОО ""Физтех-лицей"" им. П. Л. Капицы                -      7.00   7.00   7.00   7.00   28   Победитель"
"13014   7   Республика Казахстан Филиал НАО ""РФМШ"" г. Нур-Султан                       7.00   7.00   7.00   7.00   -      28   Победитель"
"13195   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   -      7.00   28   Победитель"
"13494   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   7.00   0.00   28   Победитель"
"14790   7   Вологодская            БОУ ВО ""ВМЛ""                                        7.00   7.00   7.00   7.00   -      28   Победитель"
"15790   7   Саратовская            СГУ                                                 7.00   7.00   7.00   7.00   0.00   28   Победитель"
"16939   7   Челябинская            МагГТУ                                              7.00   7.00   7.00   7.00   -      28   Победитель"
"18085   7   Вологодская            МАОУ ""СОШ № 10""                                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"19475   7   Бурятия                ФГБОУ ВО ""БГУ""                                      7.00   7.00   7.00   7.00   0.00   28   Победитель"
"21175   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   7.00   -      28   Победитель"
"21185   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   7.00   -      28   Победитель"
"21188   7   Кемеровская область - Кузбасс"
"МБОУ Лицей № 20                                     7.00   7.00   7.00   7.00   -      28   Победитель"
"21458   7   Ямало-Ненецкий         МБОУ СОШ №8                                         7.00   7.00   7.00   7.00   -      28   Победитель"
"21825   7   Москва                 МБОУ ""СОШ №2""                                       7.00   7.00   7.00   7.00   0.00   28   Победитель"
"22106   7   Ямало-Ненецкий         МБОУ СОШ №8                                         7.00   7.00   7.00   7.00   -      28   Победитель"
"22377   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   7.00   -      28   Победитель"
"22720   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                7.00   7.00   7.00   7.00   -      28   Победитель"
"22728   7   Калининградская        МАОУ Лицей № 23                                     7.00   7.00   7.00   -      7.00   28   Победитель"
"25223   7   Республика Казахстан ФМЦ INTELLECT                                         7.00   7.00   7.00   7.00   0.00   28   Победитель"
"26399   7   Нижегородская          МБОУ Лицей № 15                                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"27186   7   Курганская             АНО ""ЦДМО""                                          7.00   7.00   7.00   7.00   0.00   28   Победитель"
"28665   7   Республика Казахстан НАО РФМШ г.Алматы                                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"28666   7   Республика Казахстан НАО РФМШ г.Алматы                                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"28705   7   Республика Казахстан НАО РФМШ г.Алматы                                     7.00   7.00   7.00   7.00   0.00   28   Победитель"
"29036   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   7.00   -      28   Победитель"
"29098   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   7.00   -      28   Победитель"
"29329   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   7.00   -      28   Победитель"
"7354   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   6.00   -      27   Победитель"
"7724   7   Новосибирская          АКЛ им. Ю.В. Кондратюка                             7.00   7.00   3.00   7.00   3.00   27   Победитель"
"12320   7   Тульская               МБОУ ""ЦО №38""                                       7.00   7.00   7.00   -      6.00   27   Победитель"
"25752   7   Республика Казахстан ФМЦ INTELLECT                                         7.00   7.00   7.00   6.00   0.00   27   Победитель"
"4528   7   Мордовия               ГБОУ РМ «Республиканский лицей»                     7.00   7.00   7.00   5.00   0.00   26   Победитель"
"4608   7   Новосибирская          НГУ                                                 7.00   7.00   7.00   5.00   -      26   Победитель"
"7495   7   Пензенская             Губернский лицей                                    7.00   7.00   7.00   5.00   -      26   Победитель"
"8525   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   5.00   -      26   Победитель"
"18033   7   Вологодская            МАОУ ""СОШ № 10""                                     7.00   7.00   7.00   0.00   5.00   26   Победитель"
"19147   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                7.00   7.00   7.00   5.00   -      26   Победитель"
"27055   7   Курганская             АНО ""ЦДМО""                                          7.00   7.00   5.00   7.00   0.00   26   Победитель"
"29295   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   7.00   5.00   -      26   Победитель"
"3464   7   Пензенская             Губернский лицей                                    7.00   7.00   7.00   4.00   -      25   Победитель"
"4204   7   Краснодарский          Сириус                                              7.00   7.00   7.00   4.00   0.00   25   Победитель"
"4635   7   Воронежская            ГАНОУ ВО ""Региональный центр ""Орион""                7.00   7.00   7.00   0.00   4.00   25   Победитель"
"10469   7   Воронежская            ГАНОУ ВО ""Региональный центр ""Орион""                7.00   7.00   7.00   1.00   3.00   25   Победитель"
"12692   7   Тюменская              ГАОУ ТО ""ФМШ""                                       7.00   7.00   4.00   7.00   0.00   25   Победитель"
"21463   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                     7.00   7.00   7.00   3.00   1.00   25   Победитель"
""
""
""
"Страница 3"
"22456   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   4.00   7.00   0.00   25   Победитель"
"22835   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   5.00   6.00   0.00   25   Победитель"
"25852   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      4.00   7.00   -      7.00   25   Победитель"
"28143   7   Алтайский              филиал АлтГУ в г. Бийске                                             7.00      5.00   7.00   1.00   5.00   25   Победитель"
"28751   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                                      6.00      7.00   7.00   3.00   2.00   25   Победитель"
"29047   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   4.00   7.00   0.00   25   Победитель"
"29298   7   Бурятия                ФГБОУ ВО ""БГУ""                                                       7.00      7.00   7.00   4.00   -      25   Победитель"
"2184   7   Воронежская            ГАНОУ ВО ""Региональный центр ""Орион""                                 7.00      7.00   7.00   0.00   3.00   24   Призёр"
"2220   7   Мордовия               Муниципальное бюджетное общеобразовательное учреждение Гимназия №44 г.7.00"
"Пензы   7.00   7.00   0.00   3.00   24   Призёр"
"6625   7   Хабаровский            КГАНОУ КЦО                                                           7.00      7.00   7.00   3.00   -      24   Призёр"
"7899   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   3.00   0.00   24   Призёр"
"8060   7   Новосибирская          АКЛ им. Ю.В. Кондратюка                                              7.00      7.00   7.00   3.00   -      24   Призёр"
"13933   7   Республика Казахстан Филиал НАО ""РФМШ"" г. Нур-Султан                                        7.00      7.00   7.00   3.00   -      24   Призёр"
"14545   7   Вологодская            БОУ ВО ""ВМЛ""                                                         7.00      7.00   7.00   3.00   -      24   Призёр"
"15088   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                                 7.00      7.00   1.00   7.00   2.00   24   Призёр"
"16306   7   Республика Казахстан Филиал НАО ""РФМШ"" г. Нур-Султан                                        7.00      7.00   7.00   3.00   -      24   Призёр"
"21286   7   Мордовия               МОУ ""Лицей №43""                                                      7.00      7.00   7.00   3.00   -      24   Призёр"
"21467   7   Алтайский              АлтГУ                                                                7.00      7.00   7.00   3.00   0.00   24   Призёр"
"22430   7   Пензенская             Муниципальное бюджетное общеобразовательное учреждение Гимназия №44 г.1.00"
"Пензы   7.00   7.00   2.00   7.00   24   Призёр"
"23937   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                                      7.00      7.00   7.00   3.00   0.00   24   Призёр"
"26727   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                                      7.00      7.00   7.00   3.00   0.00   24   Призёр"
"28744   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                                      7.00      7.00   7.00   2.00   1.00   24   Призёр"
"28756   7   Алтайский              АлтГУ                                                                7.00      7.00   7.00   3.00   0.00   24   Призёр"
"280    7   Алтайский              АлтГУ                                                                7.00      7.00   7.00   0.00   2.00   23   Призёр"
"4808   7   Мордовия               ГБОУ РМ «Республиканский лицей»                                      7.00      7.00   2.00   7.00   0.00   23   Призёр"
"4921   7   Калининградская        МАОУ Лицей № 23                                                      7.00      7.00   7.00   2.00   -      23   Призёр"
"5201   7   Мордовия               ГБОУ РМ «Республиканский лицей»                                      7.00      7.00   7.00   2.00   0.00   23   Призёр"
"5278   7   Мордовия               ГБОУ РМ «Республиканский лицей»                                      0.00      7.00   7.00   7.00   2.00   23   Призёр"
"5385   7   Бурятия                ФГБОУ ВО ""БГУ""                                                       7.00      7.00   7.00   2.00   -      23   Призёр"
"6081   7   Пензенская             Губернский лицей                                                     7.00      7.00   7.00   -      2.00   23   Призёр"
"6634   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   2.00   0.00   7.00   23   Призёр"
"6714   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      6.00   7.00   3.00   0.00   23   Призёр"
"6809   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   2.00   0.00   23   Призёр"
"6835   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   2.00   0.00   23   Призёр"
"8880   7   Удмуртская             ФГБОУ ВО ""КГЭУ""                                                      7.00      6.00   7.00   3.00   0.00   23   Призёр"
"8967   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   2.00   0.00   23   Призёр"
"9882   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                                 7.00      7.00   7.00   1.00   1.00   23   Призёр"
"10087   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   7.00   -      2.00   23   Призёр"
"10638   7   Новосибирская          НГУ                                                                  7.00      7.00   7.00   2.00   -      23   Призёр"
"10725   7   Кемеровская область - Кузбасс"
"ГБНОУ ""ГМЛИ""                                                         7.00      7.00   7.00   2.00   -      23   Призёр"
"12697   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                                      7.00      7.00   7.00   1.00   1.00   23   Призёр"
"16748   7   Новосибирская          НГУ                                                                  7.00      7.00   7.00   2.00   -      23   Призёр"
"20554   7   Свердловская           МАОУ Политехническая гимназия                                        7.00      7.00   7.00   2.00   -      23   Призёр"
"21067   7   Бурятия                ФГБОУ ВО ""БГУ""                                                       7.00      7.00   7.00   0.00   2.00   23   Призёр"
"21980   7   Курганская             АНО ""ЦДМО""                                                           7.00      7.00   7.00   2.00   0.00   23   Призёр"
"22250   7   Новосибирская          НГУ                                                                  7.00      7.00   1.00   7.00   1.00   23   Призёр"
""
""
""
"Страница 4"
"29041   7   Алтайский              АлтГУ                                                                7.00      7.00   7.00   2.00   0.00   23   Призёр"
"29079   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    7.00      7.00   7.00   2.00   0.00   23   Призёр"
"29117   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   7.00   2.00   0.00   23   Призёр"
"29232   7   Красноярский           МАОУ Гимназия № 10 имени А.Е. Бочкина                                7.00      7.00   7.00   0.00   2.00   23   Призёр"
"2251   7   Новосибирская          МБУДО ДДТ им. А. И. Ефремова                                         7.00      7.00   7.00   1.00   -      22   Призёр"
"5757   7   Вологодская            БОУ ВО ""ВМЛ""                                                         7.00      7.00   7.00   1.00   -      22   Призёр"
"6656   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                                 7.00      7.00   5.00   3.00   -      22   Призёр"
"7721   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      6.00   7.00   2.00   0.00   22   Призёр"
"10664   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   1.00   0.00   22   Призёр"
"12770   7   Вологодская            БОУ ВО ""ВМЛ""                                                         7.00      7.00   7.00   1.00   -      22   Призёр"
"13796   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      6.00   7.00   2.00   0.00   22   Призёр"
"21920   7   Курганская             АНО ""ЦДМО""                                                           7.00      7.00   7.00   1.00   0.00   22   Призёр"
"28497   7   Иркутская              МБОУ ""Лицей № 1""                                                     7.00      7.00   7.00   1.00   0.00   22   Призёр"
"28749   7   Татарстан              ФГБОУ ВО ""КГЭУ""                                                      7.00      7.00   7.00   1.00   0.00   22   Призёр"
"3086   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   7.00   -      0.00   21   Призёр"
"3087   7   Чувашская Республика   МБОУ ""Лицей №2"" г. Чебоксары                                         7.00      7.00   7.00   -      -      21   Призёр"
"3157   7   Пензенская             Губернский лицей                                                     7.00      7.00   7.00   -      -      21   Призёр"
"3294   7   Московская             АНОО ""Физмат-лицей имени академика В.Г. Кадышевского""                7.00      7.00   7.00   0.00   0.00   21   Призёр"
"3352   7   Бурятия                ФГБОУ ВО ""БГУ""                                                       7.00      7.00   7.00   0.00   0.00   21   Призёр"
"3501   7   Новосибирская          МБУДО ДДТ им. А. И. Ефремова                                         7.00      7.00   7.00   -      -      21   Призёр"
"3665   7   Камчатский             КГОАУ""Центр образования ""Эврика""                                     7.00      7.00   7.00   -      -      21   Призёр"
"4010   7   Пензенская             Муниципальное бюджетное общеобразовательное учреждение Гимназия №44 г.7.00"
"Пензы   7.00   7.00   0.00   0.00   21   Призёр"
"4581   7   Новосибирская          МБОУ ""Лицей № 200""                                                   7.00      7.00   7.00   -      -      21   Призёр"
"4725   7   Мордовия               ГБОУ РМ «Республиканский лицей»                                      7.00      7.00   7.00   0.00   0.00   21   Призёр"
"5117   7   Мордовия               ГБОУ РМ «Республиканский лицей»                                      7.00      7.00   7.00   0.00   0.00   21   Призёр"
"5329   7   Пензенская             Губернский лицей                                                     7.00      7.00   7.00   -      -      21   Призёр"
"5393   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    0.00      7.00   7.00   7.00   0.00   21   Призёр"
"5509   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    0.00      7.00   7.00   7.00   0.00   21   Призёр"
"5716   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   0.00   0.00   21   Призёр"
"5830   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    7.00      7.00   7.00   0.00   0.00   21   Призёр"
"6055   7   Челябинская            МагГТУ                                                               7.00      7.00   7.00   -      -      21   Призёр"
"6073   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    7.00      7.00   7.00   0.00   0.00   21   Призёр"
"6304   7   Пензенская             Губернский лицей                                                     7.00      7.00   7.00   -      -      21   Призёр"
"6351   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    0.00      7.00   7.00   7.00   0.00   21   Призёр"
"6358   7   Пензенская             Губернский лицей                                                     7.00      7.00   7.00   -      -      21   Призёр"
"6572   7   Москва                 МАОУ Лицей 14 им. Ю.А.Гагарина ГОЩ                                   7.00      7.00   7.00   0.00   0.00   21   Призёр"
"6636   7   Саха /Якутия/          ГБНОУ РС(Я) РЛИ                                                      7.00      7.00   7.00   0.00   0.00   21   Призёр"
"6668   7   Тюменская              ГАОУ ТО ""ФМШ""                                                        7.00      7.00   7.00   -      -      21   Призёр"
"6751   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    7.00      7.00   7.00   0.00   0.00   21   Призёр"
"6789   7   Республика Казахстан   НАО РФМШ г.Алматы                                                    7.00      7.00   7.00   0.00   0.00   21   Призёр"
"6867   7   Новосибирская          АКЛ им. Ю.В. Кондратюка                                              7.00      7.00   7.00   -      -      21   Призёр"
"7004   7   Москва                 НАО РФМШ г.Алматы                                                    7.00      7.00   7.00   0.00   0.00   21   Призёр"
"7271   7   Иркутская              Лицей № 36 ОАО ""РЖД""                                                 7.00      7.00   7.00   -      -      21   Призёр"
"7434   7   Пензенская             Губернский лицей                                                     7.00      7.00   7.00   -      -      21   Призёр"
"7486   7   Воронежская            ГАНОУ ВО ""Региональный центр ""Орион""                                 7.00      7.00   7.00   0.00   0.00   21   Призёр"
"7529   7   Вологодская            БОУ ВО ""ВМЛ""                                                         7.00      7.00   7.00   -      -      21   Призёр"
""
""
""
"Страница 5"
" 7589   7   Пензенская             Губернский лицей                                7.00   7.00   7.00   -      -      21   Призёр"
"7604   7   Пензенская             Губернский лицей                                7.00   7.00   7.00   -      -      21   Призёр"
"7822   7   Республика Казахстан   НАО РФМШ г.Алматы                               7.00   7.00   7.00   0.00   0.00   21   Призёр"
"8189   7   Тюменская              ГАОУ ТО ""ФМШ""                                   7.00   7.00   7.00   -      -      21   Призёр"
"8332   7   Краснодарский          Сириус                                          7.00   7.00   7.00   -      -      21   Призёр"
"8432   7   Мордовия               ГБОУ РМ «Республиканский лицей»                 7.00   7.00   7.00   0.00   0.00   21   Призёр"
"8520   7   Тюменская              ГАОУ ТО ""ФМШ""                                   7.00   7.00   7.00   -      0.00   21   Призёр"
"8635   7   Республика Казахстан   НАО РФМШ г.Алматы                               7.00   7.00   7.00   0.00   0.00   21   Призёр"
